(Time 2448.07 sec;) [18/20,    25/179] loss: 0.520
(Time 2464.45 sec;) [18/20,    50/179] loss: 0.454
(Time 2478.74 sec;) [18/20,    75/179] loss: 0.391
(Time 2493.18 sec;) [18/20,   100/179] loss: 0.471
(Time 2509.41 sec;) [18/20,   125/179] loss: 0.394
(Time 2523.82 sec;) [18/20,   150/179] loss: 0.454
(Time 2537.88 sec;) [18/20,   175/179] loss: 0.472
Epoch 18 stats: Training accuracy: 81.     Test accuracy: 80.
(Time 2563.27 sec;) [19/20,    25/179] loss: 0.447
(Time 2578.05 sec;) [19/20,    50/179] loss: 0.382
(Time 2592.68 sec;) [19/20,    75/179] loss: 0.473
(Time 2607.48 sec;) [19/20,   100/179] loss: 0.480
(Time 2622.43 sec;) [19/20,   125/179] loss: 0.531
(Time 2637.82 sec;) [19/20,   150/179] loss: 0.421
(Time 2651.26 sec;) [19/20,   175/179] loss: 0.507
Epoch 19 stats: Training accuracy: 81.     Test accuracy: 84.
(Time 2674.62 sec;) [20/20,    25/179] loss: 0.387
(Time 2689.81 sec;) [20/20,    50/179] loss: 0.464
(Time 2703.21 sec;) [20/20,    75/179] loss: 0.439
(Time 2718.36 sec;) [20/20,   100/179] loss: 0.451
(Time 2732.86 sec;) [20/20,   125/179] loss: 0.495
(Time 2747.59 sec;) [20/20,   150/179] loss: 0.470
(Time 2762.46 sec;) [20/20,   175/179] loss: 0.379
Epoch 20 stats: Training accuracy: 83.     Test accuracy: 82.
Finished Training


Resnet 50 model, non augmented
